CO_POSICAO;SG_AREA;TX_GABARITO;CO_HABILIDADE;NU_PARAM_B;TX_COR;CO_PROVA;NU_PARAM_B_CERTO
173;MT;C;;-101603,00;Azul;285;398,397
136;MT;C;;-101603,00;Cinza;266;398,397
178;MT;C;;-101603,00;Cinza;250;398,397
136;MT;C;;-101603,00;Cinza;284;398,397
178;MT;C;;-101603,00;Amarelo;283;398,397
141;MT;C;;-101603,00;Rosa;286;398,397
141;MT;C;;-101603,00;Cinza;270;398,397
173;MT;C;;-101603,00;Cinza;268;398,397
1;CH;E;;-0,97;Amarelo;272;402,877
4;CH;E;;-0,97;Azul;271;402,877
40;CH;E;;-0,97;Rosa;274;402,877
43;CH;E;;-0,97;Branco;273;402,877
43;CH;E;;-0,97;Branco;262;402,877
43;CH;E;;-0,97;Branco;287;402,877
40;CH;E;;-0,97;Branco;264;402,877
1;CH;E;;-0,97;Branco;260;402,877
4;CH;E;;-0,97;Branco;248;402,877
43;CH;E;;-0,97;Branco;255;402,877
138;MT;D;;-0,86;Amarelo;283;413,683
141;MT;D;;-0,86;Cinza;268;413,683
180;MT;D;;-0,86;Cinza;266;413,683
138;MT;D;;-0,86;Cinza;250;413,683
141;MT;D;;-0,86;Azul;285;413,683
180;MT;D;;-0,86;Cinza;290;413,683
177;MT;D;;-0,86;Rosa;286;413,683
180;MT;D;;-0,86;Cinza;284;413,683
180;MT;D;;-0,86;Cinza;258;413,683
177;MT;D;;-0,86;Cinza;270;413,683
102;LC;B;19;-0,55;Azul;241;444,673
134;LC;B;19;-0,55;Cinza;240;444,673
134;LC;B;19;-0,55;Cinza;253;444,673
99;LC;B;19;-0,55;Amarelo;239;444,673
131;LC;B;19;-0,55;Rosa;242;444,673
124;LC;C;10;-0,50;Azul;241;450,185
107;LC;C;10;-0,50;Cinza;240;450,185
107;LC;C;10;-0,50;Cinza;253;450,185
128;LC;C;10;-0,50;Amarelo;239;450,185
116;LC;C;10;-0,50;Rosa;242;450,185
97;LC;B;9;-0,44;Azul;241;455,842
96;LC;B;9;-0,44;Cinza;240;455,842
96;LC;B;9;-0,44;Cinza;253;455,842
96;LC;B;9;-0,44;Amarelo;239;455,842
96;LC;B;9;-0,44;Rosa;242;455,842
120;LC;E;;-0,43;Rosa;282;457,369
124;LC;E;;-0,43;Azul;281;457,369
106;LC;E;;-0,43;Cinza;280;457,369
128;LC;E;;-0,43;Amarelo;279;457,369
120;LC;E;;-0,43;Cinza;269;457,369
124;LC;E;;-0,43;Cinza;267;457,369
106;LC;E;;-0,43;Cinza;265;457,369
128;LC;E;;-0,43;Cinza;249;457,369
106;LC;E;;-0,43;Cinza;257;457,369
106;LC;E;;-0,43;Cinza;289;457,369
137;MT;B;26;-0,42;Cinza;254;457,701
151;MT;B;26;-0,42;Rosa;246;457,701
140;MT;B;26;-0,42;Azul;245;457,701
137;MT;B;26;-0,42;Cinza;244;457,701
