CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;NU_PARAM_B;TX_COR;CO_PROVA
91;CN;84075;B;18;546,767;AZUL;1419
91;CN;141612;E;21;565,327;AZUL;1373
92;CN;141598;C;26;516,307;AZUL;1419
92;CN;111657;D;12;659,773;AZUL;1373
93;CN;77606;E;3;578,927;AZUL;1419
93;CN;38487;D;29;567,545;AZUL;1373
94;CN;97327;A;24;766,298;AZUL;1419
94;CN;117781;E;2;588,519;AZUL;1373
95;CN;111650;A;11;703,104;AZUL;1419
95;CN;88330;A;26;572,244;AZUL;1373
96;CN;111400;C;1;555,237;AZUL;1419
96;CN;85312;C;14;519,023;AZUL;1373
97;CN;78580;B;19;624,481;AZUL;1373
97;CN;98061;D;25;694,764;AZUL;1419
98;CN;45163;A;18;671,916;AZUL;1373
98;CN;141807;E;16;677,477;AZUL;1419
99;CN;37525;C;14;635,811;AZUL;1373
99;CN;126592;D;7;627,494;AZUL;1419
100;CN;126548;C;10;483,274;AZUL;1373
100;CN;118000;C;6;677,293;AZUL;1419
101;CN;98114;B;12;693,426;AZUL;1373
101;CN;141661;A;17;581,272;AZUL;1419
102;CN;60791;B;24;696,308;AZUL;1373
102;CN;87137;A;2;629,429;AZUL;1419
103;CN;59767;D;6;522,554;AZUL;1373
103;CN;76197;E;18;679,703;AZUL;1419
104;CN;111611;B;1;732,557;AZUL;1373
104;CN;141808;D;12;741,049;AZUL;1419
105;CN;76674;D;21;728,909;AZUL;1373
105;CN;141753;D;10;609,314;AZUL;1419
106;CN;111475;D;19;646,269;AZUL;1419
106;CN;81798;A;7;699,027;AZUL;1373
107;CN;78441;E;29;592,667;AZUL;1419
107;CN;86727;A;3;604,212;AZUL;1373
108;CN;141791;B;4;641,332;AZUL;1419
108;CN;117673;A;23;749,622;AZUL;1373
109;CN;111460;B;14;599,384;AZUL;1419
109;CN;68506;B;18;679,477;AZUL;1373
110;CN;117915;D;28;504,851;AZUL;1419
110;CN;82598;B;27;513,91;AZUL;1373
111;CN;85697;D;14;599,51;AZUL;1419
111;CN;56084;A;28;628,856;AZUL;1373
112;CN;141775;B;13;576,737;AZUL;1419
112;CN;141747;B;30;430,565;AZUL;1373
113;CN;117963;E;9;629,973;AZUL;1419
