CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA
1;CH;7952;E;1;0;;1.625;612.2;0.177;AZUL;137;
2;CH;9690;A;23;0;;2.016;582.3;0.203;AZUL;137;
3;CH;11047;D;24;0;;1.324;795.0;0.286;AZUL;137;
4;CH;8102;B;3;0;;2.155;575.2;0.254;AZUL;137;
5;CH;9689;A;3;0;;1.766;489.8;0.164;AZUL;137;
6;CH;8011;A;13;0;;1.568;481.1;0.168;AZUL;137;
7;CH;14121;B;24;0;;2.641;546.8;0.16;AZUL;137;
8;CH;7795;D;22;0;;2.159;564.4;0.142;AZUL;137;
9;CH;9054;C;25;0;;2.169;662.1;0.188;AZUL;137;
10;CH;8450;E;26;0;;0.929;551.8;0.171;AZUL;137;
11;CH;8503;B;9;0;;2.617;609.9;0.252;AZUL;137;
12;CH;7592;D;21;0;;2.375;692.1;0.066;AZUL;137;
13;CH;7586;D;2;0;;1.493;570.5;0.146;AZUL;137;
14;CH;8416;C;17;0;;1.147;806.7;0.244;AZUL;137;
15;CH;7589;E;12;0;;2.155;521.1;0.171;AZUL;137;
16;CH;7597;E;7;0;;1.253;664.0;0.267;AZUL;137;
17;CH;7572;E;15;0;;1.194;619.7;0.222;AZUL;137;
18;CH;6899;E;2;0;;2.165;533.3;0.145;AZUL;137;
19;CH;8120;C;16;0;;2.442;520.8;0.171;AZUL;137;
20;CH;8454;E;27;0;;2.156;756.7;0.148;AZUL;137;
21;CH;7569;B;9;0;;2.851;568.3;0.133;AZUL;137;
22;CH;7600;C;10;0;;1.544;587.1;0.129;AZUL;137;
23;CH;13971;D;15;0;;1.157;774.7;0.271;AZUL;137;
24;CH;8166;A;6;0;;2.013;590.9;0.134;AZUL;137;
25;CH;9218;D;1;0;;1.276;619.6;0.274;AZUL;137;
26;CH;8447;C;28;0;;2.073;602.9;0.116;AZUL;137;
27;CH;14075;E;13;0;;1.136;580.6;0.162;AZUL;137;
28;CH;10932;D;4;0;;2.451;554.2;0.14;AZUL;137;
29;CH;13850;A;26;0;;1.687;622.7;0.123;AZUL;137;
30;CH;9101;E;4;0;;1.688;701.0;0.187;AZUL;137;
31;CH;11449;C;23;0;;1.135;745.2;0.189;AZUL;137;
32;CH;8452;A;27;0;;2.045;558.9;0.192;AZUL;137;
33;CH;7012;B;20;0;;1.853;653.9;0.111;AZUL;137;
34;CH;14192;E;28;0;;1.318;764.0;0.286;AZUL;137;
35;CH;7559;E;8;0;;0.891;734.8;0.151;AZUL;137;
36;CH;15288;E;18;0;;1.918;712.7;0.143;AZUL;137;
37;CH;12077;A;29;0;;1.126;608.2;0.154;AZUL;137;
38;CH;8438;E;30;0;;0.914;600.0;0.19;AZUL;137;
39;CH;8424;E;14;0;;2.153;626.7;0.1;AZUL;137;
40;CH;14529;E;11;0;;2.383;500.3;0.167;AZUL;137;
41;CH;7612;C;22;0;;1.272;477.6;0.202;AZUL;137;
42;CH;8451;A;29;0;;1.398;470.5;0.15;AZUL;137;
43;CH;11330;C;11;0;;1.225;504.3;0.191;AZUL;137;
44;CH;11559;D;5;0;;1.539;694.3;0.135;AZUL;137;
45;CH;7971;A;19;0;;1.451;686.1;0.106;AZUL;137;
46;CN;7720;B;2;0;;2.088;609.6;0.072;AZUL;141;
47;CN;13481;A;19;0;;2.718;537.1;0.172;AZUL;141;
48;CN;14970;E;11;0;;2.232;676.6;0.215;AZUL;141;
49;CN;13100;B;24;0;;3.122;611.8;0.15;AZUL;141;
50;CN;8039;E;23;0;;1.073;479.7;0.206;AZUL;141;
51;CN;10549;E;4;0;;1.589;526.6;0.101;AZUL;141;
52;CN;13470;D;10;0;;1.027;436.1;0.193;AZUL;141;
53;CN;14952;A;19;0;;1.962;573.6;0.177;AZUL;141;
54;CN;11971;B;1;0;;2.275;595.7;0.15;AZUL;141;
55;CN;11088;D;6;0;;2.214;717.0;0.068;AZUL;141;
56;CN;8987;D;15;0;;1.887;589.7;0.279;AZUL;141;
57;CN;12242;D;28;0;;1.175;796.5;0.163;AZUL;141;
58;CN;13701;A;25;0;;1.651;581.1;0.262;AZUL;141;
59;CN;9749;B;26;0;;3.558;637.2;0.206;AZUL;141;
60;CN;10925;C;17;0;;3.419;631.5;0.165;AZUL;141;
61;CN;10813;C;23;0;;1.738;622.6;0.145;AZUL;141;
62;CN;7859;B;12;0;;1.532;728.8;0.184;AZUL;141;
63;CN;7530;A;29;0;;3.042;565.0;0.229;AZUL;141;
64;CN;7520;E;18;0;;3.262;586.5;0.132;AZUL;141;
65;CN;11471;E;13;0;;3.167;628.9;0.13;AZUL;141;
66;CN;12313;A;25;0;;1.491;731.1;0.163;AZUL;141;
67;CN;14165;C;18;0;;2.553;676.7;0.242;AZUL;141;
68;CN;7394;D;14;0;;1.166;651.3;0.169;AZUL;141;
69;CN;13577;C;19;0;;2.555;575.3;0.161;AZUL;141;
70;CN;11473;D;27;0;;1.899;754.6;0.165;AZUL;141;
71;CN;13755;E;26;0;;2.226;463.5;0.145;AZUL;141;
72;CN;10698;C;20;0;;1.883;511.8;0.163;AZUL;141;
73;CN;10766;E;5;0;;1.849;733.6;0.155;AZUL;141;
74;CN;14971;A;20;0;;2.642;745.2;0.191;AZUL;141;
75;CN;14939;C;3;0;;1.891;603.8;0.181;AZUL;141;
76;CN;7717;B;4;0;;2.154;615.8;0.185;AZUL;141;
77;CN;8998;D;7;0;;1.425;659.2;0.201;AZUL;141;
78;CN;13155;A;2;0;;1.781;658.3;0.173;AZUL;141;
79;CN;14148;C;25;0;;2.904;622.5;0.293;AZUL;141;
80;CN;7526;C;30;0;;1.57;486.0;0.209;AZUL;141;
81;CN;7721;B;9;0;;2.306;577.5;0.111;AZUL;141;
82;CN;10124;E;8;0;;2.356;602.8;0.109;AZUL;141;
83;CN;14980;B;21;0;;2.542;652.1;0.153;AZUL;141;
84;CN;14938;A;3;0;;2.231;709.8;0.262;AZUL;141;
85;CN;13601;C;16;0;;1.197;596.0;0.22;AZUL;141;
86;CN;12016;E;15;0;;3.273;595.7;0.216;AZUL;141;
87;CN;7538;E;10;0;;1.511;659.8;0.2;AZUL;141;
88;CN;14982;B;22;0;;2.199;646.5;0.089;AZUL;141;
89;CN;12246;E;15;0;;2.361;600.9;0.118;AZUL;141;
90;CN;12466;B;25;0;;3.412;619.8;0.16;AZUL;141;
91;LC;11524;A;6;0;;1.318;540.5;0.109;AZUL;147;1.0
91;LC;15123;A;6;0;;1.275;534.7;0.21;AZUL;147;0.0
92;LC;9317;D;6;0;;1.562;581.5;0.198;AZUL;147;1.0
92;LC;10352;D;7;0;;1.617;549.3;0.142;AZUL;147;0.0
93;LC;7350;D;6;0;;1.646;593.9;0.204;AZUL;147;0.0
93;LC;11100;A;6;0;;1.614;629.3;0.136;AZUL;147;1.0
94;LC;7111;B;8;0;;1.722;686.2;0.284;AZUL;147;0.0
94;LC;11637;B;5;0;;1.614;725.5;0.254;AZUL;147;1.0
95;LC;9167;C;7;0;;2.118;605.8;0.188;AZUL;147;1.0
95;LC;15020;B;5;0;;1.885;609.1;0.133;AZUL;147;0.0
96;LC;9917;A;10;0;;2.024;492.4;0.183;AZUL;147;
97;LC;13161;A;30;0;;1.873;525.5;0.146;AZUL;147;
98;LC;10167;D;20;0;;1.339;500.3;0.153;AZUL;147;
99;LC;11849;A;25;0;;1.828;516.6;0.169;AZUL;147;
100;LC;10467;A;9;0;;1.46;642.2;0.198;AZUL;147;
101;LC;9267;A;17;0;;1.528;650.1;0.195;AZUL;147;
102;LC;13440;B;18;0;;1.719;666.9;0.211;AZUL;147;
103;LC;10128;A;1;0;;2.826;612.6;0.226;AZUL;147;
104;LC;10744;A;3;0;;1.347;603.4;0.138;AZUL;147;
105;LC;13064;A;26;0;;0.94;619.9;0.167;AZUL;147;
106;LC;7241;E;24;0;;1.761;477.0;0.16;AZUL;147;
107;LC;8971;B;24;0;;2.704;458.7;0.172;AZUL;147;
108;LC;11950;E;25;0;;2.136;532.9;0.189;AZUL;147;
109;LC;7157;D;18;0;;1.16;524.2;0.183;AZUL;147;
110;LC;11818;E;26;0;;3.231;588.6;0.087;AZUL;147;
111;LC;10609;A;29;0;;2.358;553.2;0.117;AZUL;147;
112;LC;15064;B;17;0;;2.207;563.9;0.162;AZUL;147;
113;LC;7691;E;16;0;;1.388;669.7;0.12;AZUL;147;
114;LC;7714;D;2;0;;1.775;408.3;0.188;AZUL;147;
115;LC;8716;D;11;0;;1.87;530.7;0.119;AZUL;147;
116;LC;13475;C;13;0;;1.032;576.3;0.195;AZUL;147;
117;LC;13388;E;17;0;;1.971;503.9;0.169;AZUL;147;
118;LC;9843;B;4;0;;2.072;520.9;0.134;AZUL;147;
119;LC;13152;E;24;0;;2.563;542.7;0.125;AZUL;147;
120;LC;9258;E;3;0;;2.418;502.5;0.142;AZUL;147;
121;LC;7884;A;13;0;;2.006;568.8;0.17;AZUL;147;
122;LC;12235;C;14;0;;1.669;617.1;0.165;AZUL;147;
123;LC;13476;B;27;0;;0.969;703.5;0.26;AZUL;147;
124;LC;7174;C;15;0;;2.187;574.6;0.213;AZUL;147;
125;LC;8806;D;28;0;;2.167;569.4;0.157;AZUL;147;
126;LC;13273;D;15;0;;1.872;593.3;0.246;AZUL;147;
127;LC;12402;B;19;0;;1.972;707.8;0.302;AZUL;147;
128;LC;12096;A;27;0;;2.123;539.7;0.097;AZUL;147;
129;LC;7179;D;23;0;;1.248;622.6;0.226;AZUL;147;
130;LC;13091;E;22;0;;2.838;604.8;0.07;AZUL;147;
131;LC;15094;D;12;0;;1.9;643.9;0.29;AZUL;147;
132;LC;9628;A;23;0;;1.24;661.6;0.21;AZUL;147;
133;LC;10936;E;21;0;;0.814;694.7;0.292;AZUL;147;
134;LC;12213;A;16;0;;2.092;500.4;0.163;AZUL;147;
135;LC;11131;D;15;0;;1.774;643.1;0.105;AZUL;147;
136;MT;15395;D;11;0;;1.799;721.4;0.182;AZUL;151;
137;MT;15307;E;7;0;;1.881;722.7;0.204;AZUL;151;
138;MT;6086;B;3;0;;2.328;746.7;0.193;AZUL;151;
139;MT;7421;D;28;0;;1.952;767.7;0.096;AZUL;151;
140;MT;8504;D;23;0;;1.079;661.7;0.29;AZUL;151;
141;MT;7603;E;19;0;;2.305;640.6;0.305;AZUL;151;
142;MT;11343;D;12;0;;1.797;630.6;0.12;AZUL;151;
143;MT;7291;A;19;0;;2.544;626.7;0.269;AZUL;151;
144;MT;10547;A;4;0;;2.346;607.1;0.107;AZUL;151;
145;MT;15402;D;11;0;;2.023;628.6;0.085;AZUL;151;
146;MT;15460;E;30;0;;1.282;683.7;0.151;AZUL;151;
147;MT;9909;D;12;0;;1.867;651.5;0.129;AZUL;151;
148;MT;8444;E;20;0;;1.135;374.1;0.201;AZUL;151;
149;MT;10823;A;7;0;;1.483;474.8;0.197;AZUL;151;
150;MT;9207;B;3;0;;1.517;495.3;0.173;AZUL;151;
151;MT;12533;E;26;0;;1.306;546.0;0.176;AZUL;151;
152;MT;9214;A;9;0;;3.544;740.8;0.141;AZUL;151;
153;MT;10896;E;6;0;;1.305;721.8;0.111;AZUL;151;
154;MT;15453;E;13;0;;2.132;495.2;0.176;AZUL;151;
155;MT;11521;E;25;0;;2.353;555.0;0.186;AZUL;151;
156;MT;10181;E;15;0;;2.384;563.3;0.16;AZUL;151;
157;MT;8930;C;5;0;;0.898;662.8;0.128;AZUL;151;
158;MT;12765;C;13;0;;3.113;676.0;0.222;AZUL;151;
159;MT;15446;C;14;0;;1.786;691.1;0.138;AZUL;151;
160;MT;7890;B;8;0;;2.576;706.2;0.189;AZUL;151;
161;MT;12730;C;1;0;;1.589;560.3;0.137;AZUL;151;
162;MT;14393;A;25;0;;2.366;546.5;0.114;AZUL;151;
163;MT;8428;B;26;0;;1.613;545.2;0.124;AZUL;151;
164;MT;7282;A;16;0;;1.8;458.2;0.186;AZUL;151;
165;MT;7031;C;6;0;;1.738;575.4;0.196;AZUL;151;
166;MT;10300;B;21;0;;2.369;582.6;0.148;AZUL;151;
167;MT;7725;D;4;0;;2.764;595.6;0.129;AZUL;151;
168;MT;8371;B;21;0;;3.552;708.4;0.228;AZUL;151;
169;MT;5773;E;21;0;;1.738;695.3;0.123;AZUL;151;
170;MT;8439;D;15;0;;2.035;685.1;0.256;AZUL;151;
171;MT;9577;B;10;0;;3.508;665.9;0.175;AZUL;151;
172;MT;7324;D;1;0;;3.324;601.9;0.124;AZUL;151;
173;MT;13915;B;16;0;;1.453;587.5;0.19;AZUL;151;
174;MT;12252;D;29;0;;1.479;579.5;0.195;AZUL;151;
175;MT;8405;D;25;0;;2.198;569.9;0.158;AZUL;151;
176;MT;10441;E;27;0;;2.042;823.6;0.108;AZUL;151;
177;MT;9173;C;3;0;;1.312;825.5;0.143;AZUL;151;
178;MT;12105;D;29;0;;1.24;824.2;0.18;AZUL;151;
179;MT;11010;B;27;0;;1.891;771.9;0.12;AZUL;151;
180;MT;7318;C;17;0;;2.309;752.1;0.16;AZUL;151;
