CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;LC;10964;B;5;0;;2.57365;502,32;0.20322;AZUL;341;1.0;0
1;LC;10964;B;5;0;;2.57365;502,32;0.20322;AZUL;361;1.0;0
1;LC;27082;A;7;0;;1.82662;594,60;0.38473;AZUL;341;0.0;0
1;LC;27082;A;7;0;;1.82662;594,60;0.38473;AZUL;361;0.0;0
1;LC;39570;C;6;0;;3.39249;609,01;0.0732;AZUL;299;0.0;0
1;LC;55307;C;5;0;;1.56923;582,87;0.0376;AZUL;299;1.0;0
2;LC;25150;B;5;0;;2.55296;716,29;0.18704;AZUL;341;0.0;0
2;LC;25150;B;5;0;;2.55296;716,29;0.18704;AZUL;361;0.0;0
2;LC;27055;E;7;0;;3.26792;540,84;0.24997;AZUL;299;0.0;0
2;LC;29129;C;7;0;;2.3591;660,89;0.12991;AZUL;341;1.0;0
2;LC;29129;C;7;0;;2.3591;660,89;0.12991;AZUL;361;1.0;0
2;LC;54904;C;6;0;;2.68534;599,26;0.15497;AZUL;299;1.0;0
3;LC;23559;D;6;0;;4.59766;596,57;0.13238;AZUL;299;0.0;0
3;LC;23733;B;8;0;;2.52006;616,10;0.1191;AZUL;299;1.0;0
3;LC;32689;A;8;0;;1.52935;555,23;0.22502;AZUL;341;1.0;0
3;LC;32689;A;8;0;;1.52935;555,23;0.22502;AZUL;361;1.0;0
3;LC;42492;C;8;0;;1.61211;625,45;0.18026;AZUL;341;0.0;0
3;LC;42492;C;8;0;;1.61211;625,45;0.18026;AZUL;361;0.0;0
4;LC;22565;E;5;0;;1.75664;692,81;0.19153;AZUL;299;1.0;0
4;LC;23118;C;6;0;;2.75666;600,52;0.10659;AZUL;341;1.0;0
4;LC;23118;C;6;0;;2.75666;600,52;0.10659;AZUL;361;1.0;0
4;LC;23249;D;5;0;;3.30612;493,41;0.18546;AZUL;341;0.0;0
4;LC;23249;D;5;0;;3.30612;493,41;0.18546;AZUL;361;0.0;0
4;LC;30170;E;8;0;;3.33756;609,34;0.13912;AZUL;299;0.0;0
5;LC;20069;D;6;0;;2.63816;507,94;0.20983;AZUL;341;0.0;0
5;LC;20069;D;6;0;;2.63816;507,94;0.20983;AZUL;361;0.0;0
5;LC;23477;D;5;0;;2.55736;605,02;0.18175;AZUL;341;1.0;0
5;LC;23477;D;5;0;;2.55736;605,02;0.18175;AZUL;361;1.0;0
5;LC;40290;A;5;0;;3.10975;532,34;0.22556;AZUL;299;0.0;0
